index,DateTime,min,max,avg
480,2024-05-28 14:47:20,386.25,401.1,389.85
481,2024-05-28 15:47:20,387.0,411.15,390.45
482,2024-05-28 16:47:20,349.65,365.1,355.95
483,2024-05-28 17:47:20,30.6,43.05,34.2
484,2024-05-28 18:47:20,27.9,37.8,28.5
485,2024-05-28 19:47:20,32.4,51.3,35.7
486,2024-05-28 20:47:20,30.3,45.75,35.85
487,2024-05-28 21:47:20,32.85,55.65,38.7
488,2024-05-28 22:47:20,28.5,33.15,29.4
489,2024-05-28 23:47:20,30.0,41.85,31.65
490,2024-05-29 00:47:20,28.05,30.15,29.1
491,2024-05-29 01:47:20,27.45,32.25,28.05
492,2024-05-29 02:47:20,22.5,24.0,22.95
493,2024-05-29 03:47:20,22.35,36.15,25.5
494,2024-05-29 04:47:20,23.55,34.95,26.25
495,2024-05-29 05:47:20,22.5,23.25,22.8
496,2024-05-29 06:47:20,24.6,37.2,27.15
497,2024-05-29 07:47:20,358.05,370.35,360.15
498,2024-05-29 08:47:20,360.9,374.4,364.8
499,2024-05-29 09:47:20,359.1,371.85,364.05
500,2024-05-29 10:47:20,339.75,354.6,344.85
501,2024-05-29 11:47:20,331.05,349.35,337.5
502,2024-05-29 12:47:20,327.9,343.05,333.15
503,2024-05-29 13:47:20,348.15,363.3,353.7
504,2024-05-29 14:47:20,358.35,378.6,364.95
505,2024-05-29 15:47:20,344.55,360.45,350.85
506,2024-05-29 16:47:20,331.5,355.35,338.4
507,2024-05-29 17:47:20,29.7,42.0,33.0
508,2024-05-29 18:47:20,28.5,41.85,30.9
509,2024-05-29 19:47:20,32.4,34.8,33.15
510,2024-05-29 20:47:20,32.55,45.6,34.5
511,2024-05-29 21:47:20,33.0,42.3,34.2
512,2024-05-29 22:47:20,30.0,43.95,34.05
513,2024-05-29 23:47:20,29.55,44.1,34.5
514,2024-05-30 00:47:20,27.75,41.55,31.05
